Title,Categories,Uri,FullPath
"Mind map – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./tag/mind-map/index.html","E:\repos\Processtune-web\www\tag\mind-map\index.html"
"Visual studio code – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./tag/visual-studio-code/index.html","E:\repos\Processtune-web\www\tag\visual-studio-code\index.html"
"April 1, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/04/01/index.html","E:\repos\Processtune-web\www\2011\04\01\index.html"
"April 2, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/04/02/index.html","E:\repos\Processtune-web\www\2011\04\02\index.html"
"April 3, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/04/03/index.html","E:\repos\Processtune-web\www\2011\04\03\index.html"
"April 6, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/04/06/index.html","E:\repos\Processtune-web\www\2011\04\06\index.html"
"April 9, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/04/09/index.html","E:\repos\Processtune-web\www\2011\04\09\index.html"
"April 14, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/04/14/index.html","E:\repos\Processtune-web\www\2011\04\14\index.html"
"April 21, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/04/21/index.html","E:\repos\Processtune-web\www\2011\04\21\index.html"
"April 23, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/04/23/index.html","E:\repos\Processtune-web\www\2011\04\23\index.html"
"May 26, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/05/26/index.html","E:\repos\Processtune-web\www\2011\05\26\index.html"
"May 28, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/05/28/index.html","E:\repos\Processtune-web\www\2011\05\28\index.html"
"July 9, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/07/09/index.html","E:\repos\Processtune-web\www\2011\07\09\index.html"
"September 24, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/09/24/index.html","E:\repos\Processtune-web\www\2011\09\24\index.html"
"October 8, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/10/08/index.html","E:\repos\Processtune-web\www\2011\10\08\index.html"
"November 23, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/11/23/index.html","E:\repos\Processtune-web\www\2011\11\23\index.html"
"November 26, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/11/26/index.html","E:\repos\Processtune-web\www\2011\11\26\index.html"
"December 3, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/12/03/index.html","E:\repos\Processtune-web\www\2011\12\03\index.html"
"December 26, 2011 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2011/12/26/index.html","E:\repos\Processtune-web\www\2011\12\26\index.html"
"January 23, 2012 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2012/01/23/index.html","E:\repos\Processtune-web\www\2012\01\23\index.html"
"April 18, 2012 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2012/04/18/index.html","E:\repos\Processtune-web\www\2012\04\18\index.html"
"April 28, 2012 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2012/04/28/index.html","E:\repos\Processtune-web\www\2012\04\28\index.html"
"June 10, 2012 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2012/06/10/index.html","E:\repos\Processtune-web\www\2012\06\10\index.html"
"June 23, 2012 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2012/06/23/index.html","E:\repos\Processtune-web\www\2012\06\23\index.html"
"July 7, 2012 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2012/07/07/index.html","E:\repos\Processtune-web\www\2012\07\07\index.html"
"December 7, 2012 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2012/12/07/index.html","E:\repos\Processtune-web\www\2012\12\07\index.html"
"January 26, 2013 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2013/01/26/index.html","E:\repos\Processtune-web\www\2013\01\26\index.html"
"March 30, 2013 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2013/03/30/index.html","E:\repos\Processtune-web\www\2013\03\30\index.html"
"April 8, 2013 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2013/04/08/index.html","E:\repos\Processtune-web\www\2013\04\08\index.html"
"May 8, 2013 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2013/05/08/index.html","E:\repos\Processtune-web\www\2013\05\08\index.html"
"May 11, 2013 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2013/05/11/index.html","E:\repos\Processtune-web\www\2013\05\11\index.html"
"June 7, 2013 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2013/06/07/index.html","E:\repos\Processtune-web\www\2013\06\07\index.html"
"July 1, 2013 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2013/07/01/index.html","E:\repos\Processtune-web\www\2013\07\01\index.html"
"July 8, 2013 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2013/07/08/index.html","E:\repos\Processtune-web\www\2013\07\08\index.html"
"August 26, 2013 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2013/08/26/index.html","E:\repos\Processtune-web\www\2013\08\26\index.html"
